university,year,coord,country,latitude,longitude
Universidad de Gandía,1548,Point(-0.30278056 39.624275),Spain,39.624275,-0.30278056
University of Santa Catalina,1550,Point(-3.065411 41.587759),Spain,41.587759,-3.065411
Royal and Pontifical University of Mexico,1551,Point(-99.131779 19.433718),Mexico,19.433718,-99.131779
Pontifical Gregorian University,1551,Point(12.484722222 41.898888888),Italy,41.898888888,12.484722222
Universidad Pontificia de México,1551,Point(-99.1692 19.2881),Mexico,19.2881,-99.1692
National University of San Marcos,1551,Point(-77.083333333 -12.058333333),Peru,-12.058333333,-77.083333333
Collegium Germanicum et Hungaricum,1552,Point(12.491535 41.904982),Italy,41.904982,12.491535
University of Orihuela,1552,Point(-0.941194444 38.089444444),Spain,38.089444444,-0.941194444
Lutheran Theological University,1557,Point(19.1147 47.5193),Hungary,47.5193,19.1147
Friedrich Schiller University Jena,1558,Point(11.582222222 50.928333333),Germany,50.928333333,11.582222222
University of Douai,1559,Point(3.08 50.38),France,50.38,3.08
University of Geneva,1559,Point(6.14446 46.19899),Switzerland,46.19899,6.14446
University of Évora,1559,Point(-7.90427 38.573),Portugal,38.573,-7.90427
University of Lille,1559,Point(3.075194444 50.631722222),France,50.631722222,3.075194444
University of Sassari,1562,Point(8.55975 40.7248),Italy,40.7248,8.55975
Pontifical Roman Seminary,1565,Point(12.5040077 41.8849138),Italy,41.8849138,12.5040077
Ghislieri College,1567,Point(9.161651 45.186183),Italy,45.186183,9.161651
Priesterseminar Mainz,1568,Point(8.27471 49.9971),Germany,49.9971,8.27471
Royal University of Irache,1569,Point(-2.043333333 42.65),Spain,42.65,-2.043333333
Colégio dos Jesuítas do Funchal,1570,Point(-16.909541 32.65008),Portugal,32.65008,-16.909541
University of Pont-à-Mousson,1572,Point(6.0578 48.906),France,48.906,6.0578
Accademia di Belle Arti di Perugia,1573,Point(12.383538 43.113948),Italy,43.113948,12.383538
Palacký University Olomouc,1573,Point(17.25914 49.59508),Czech Republic,49.59508,17.25914
Universidad de Almagro,1574,Point(-3.714891666 38.890783333),Spain,38.890783333,-3.714891666
Leiden University,1575,Point(4.485277777 52.156944444),Netherlands,52.156944444,4.485277777
seminario vescovile di Lodi,1575,Point(9.50629 45.312792),Italy,45.312792,9.50629
University of Helmstedt,1576,Point(11.0087 52.2293),Germany,52.2293,11.0087
Greek Pontifical College of Saint Athanasius,1576,Point(12.479447 41.908079),Italy,41.908079,12.479447
University of Altdorf,1578,Point(11.356808604 49.384724382),Germany,49.384724382,11.356808604
Vilnius University,1579,Point(25.287222222 54.6825),Lithuania,54.6825,25.287222222
Xi'an University of Finance and Economics,1579,Point(108.938578 34.115546),People's Republic of China,34.115546,108.938578
English College,1579,Point(12.47 41.895833333),Italy,41.895833333,12.47
Jesuit College in Polotsk,1580,Point(28.7642 55.4861),Belarus,55.4861,28.7642
Saint Thomas Aquinas University,1580,Point(-74.06444444 4.63805556),Colombia,4.63805556,-74.06444444
"Seminary of San Pelagio, Córdoba",1583,Point(-4.780345081 37.87724427),Spain,37.87724427,-4.780345081
University of Edinburgh,1583,Point(-3.187194444 55.947388888),United Kingdom,55.947388888,-3.187194444
University of Graz,1585,Point(15.44956 47.07761),Austria,47.07761,15.44956
Jesuit college in Český Krumlov,1586,Point(14.3174937 48.8103832),Czech Republic,48.8103832,14.3174937
Jesuit College and Church of Saint Ignatius,1589,Point(13.4189 50.4599),Czech Republic,50.4599,13.4189
Seminario de Lima,1591,Point(-77.0679 -12.0835),Peru,-12.0835,-77.0679
University of Dublin,1592,Point(-6.257777777 53.344444444),Ireland,53.344444444,-6.257777777
Collegium Melitense,1592,Point(14.515555555 35.898333333),Malta,35.898333333,14.515555555
Trinity College Dublin,1592,Point(-6.2577 53.3444),Ireland,53.3444,-6.2577
University of San Carlos,1595,Point(123.898888888 10.299444444),Philippines,10.299444444,123.898888888
University of L'Aquila,1596,Point(13.39725 42.351394444),Italy,42.351394444,13.39725
Montauban-Puylaurens Academy,1598,Point(2.045713 43.568101),France,43.568101,2.045713
Montauban-Puylaurens Academy,1598,Point(2.045713 43.568101),Kingdom of France,43.568101,2.045713
Pontifical Xavierian University,1604,Point(-74.06485 4.62894444),Colombia,4.62894444,-74.06485
University of Cagliari,1607,Point(9.115 39.216944444),Italy,39.216944444,9.115
University of Giessen,1607,Point(8.676388888 50.580833333),Germany,50.580833333,8.676388888
University of Oviedo,1608,Point(-5.8463 43.3618),Spain,43.3618,-5.8463
Lviv Jesuit College,1608,Point(24.028694 49.842083),Polish–Lithuanian Commonwealth,49.842083,24.028694
Lviv Jesuit College,1608,Point(24.028694 49.842083),Habsburg monarchy,49.842083,24.028694
Noviciat des jésuites (Paris),1610,Point(2.332583333 48.849861111),France,48.849861111,2.332583333
University of Santo Tomas,1611,Point(120.989722222 14.609722222),Philippines,14.609722222,120.989722222
Jesuit Collegium in Orsha,1612,Point(30.4225 54.507222222),Belarus,54.507222222,30.4225
National University of Córdoba,1613,Point(-64.18777778 -31.4375),Argentina,-31.4375,-64.18777778
University of Groningen,1614,Point(6.562777777 53.219166666),Netherlands,53.219166666,6.562777777
Theological Faculty of Paderborn,1614,Point(8.75494 51.7161),Germany,51.7161,8.75494
University of Rinteln,1619,Point(9.07796 52.1858),Germany,52.1858,9.07796
Convento dei Paolotti,1619,Point(17.116162776 40.970121098),Italy,40.970121098,17.116162776
Central University of Ecuador,1620,Point(-78.5056 -0.1998),Ecuador,-0.1998,-78.5056
University of Strasbourg,1621,Point(7.764444444 48.580277777),France,48.580277777,7.764444444
Universidad Pontificia de Santo Tomás de Aquino,1622,Point(-70.650565758 -33.435713835),Chile,-33.435713835,-70.650565758
Santa Maria,1622,Point(8.954777777 46.361277777),Switzerland,46.361277777,8.954777777
Pázmáneum,1623,Point(16.35675 48.222444444),Austria,48.222444444,16.35675
Major and Pontifical Saint Francis Xavier University of Chuquisaca,1624,Point(-65.261111111 -19.047166666),Bolivia,-19.047166666,-65.261111111
Reales Estudios de San Isidro,1625,Point(-3.707419444 40.413041666),Spain,40.413041666,-3.707419444
Jesuit collegium,1625,Point(15.591005 49.3968503),Czech Republic,49.3968503,15.591005
Pontificio Collegio Urbano de Propaganda Fide,1627,Point(12.458361111 41.899583333),Vatican City,41.899583333,12.458361111
Royal Scots College,1627,Point(-5.679869444 40.967972222),Spain,40.967972222,-5.679869444
Pontifical Urbaniana University,1627,Point(12.4583 41.89964),Italy,41.89964,12.4583
Jesuit college in Litoměřice,1628,Point(14.1331 50.5322),Czech Republic,50.5322,14.1331
Jesuit college in Jičín,1628,Point(15.3490625 50.4362567),Czech Republic,50.4362567,15.3490625
Pontifical Irish College,1628,Point(12.502053 41.887291),Italy,41.887291,12.502053
University of Amsterdam,1632,Point(4.890277777 52.368333333),Netherlands,52.368333333,4.890277777
Q12029800,1634,Point(16.04772 48.85799),Czech Republic,48.85799,16.04772
Pázmány Péter Catholic University,1635,Point(19.065862527 47.491651055),Hungary,47.491651055,19.065862527
University of Trnava,1635,Point(17.583333333 48.383333333),Kingdom of Hungary,48.383333333,17.583333333
Eötvös Loránd University,1635,Point(19.0585 47.4906),Hungary,47.4906,19.0585
Seminario Vescovile,1635,Point(8.211786681 44.049825924),Italy,44.049825924,8.211786681
Utrecht University,1636,Point(5.175 52.085277777),Netherlands,52.085277777,5.175
Harvard University,1636,Point(-71.116943888 42.374443888),United States,42.374443888,-71.116943888
Diocesan Seminary of Fiesole,1637,Point(11.291778 43.807072),Italy,43.807072,11.291778
Ryukoku University,1639,Point(135.76724 34.96429),Japan,34.96429,135.76724
Royal Academy of Turku,1640,Point(22.279877777 60.451644444),Finland,60.451644444,22.279877777
University of Helsinki,1640,Point(24.95 60.169444444),Finland,60.169444444,24.95
Portuguese Military Academy,1640,Point(-9.13861111 38.72305556),Portugal,38.72305556,-9.13861111
Saint-Sulpice Seminary,1641,Point(2.27702 48.82523),France,48.82523,2.27702
University of Bamberg,1647,Point(10.886666666 49.893888888),Germany,49.893888888,10.886666666
Ján Vojtaššák Seminary,1647,Point(20.7392559 49.0004496),Slovakia,49.0004496,20.7392559
University of Harderwijk,1648,Point(5.616505555 52.349444444),Netherlands,52.349444444,5.616505555
Seminario Metropolitano,1650,Point(10.92209 44.64346),Italy,44.64346,10.92209
Jesuit College (Telč),1651,Point(15.4511138 49.1846583),Czech Republic,49.1846583,15.4511138
Our Lady of the Rosary University,1653,Point(-74.073465 4.600231),Colombia,4.600231,-74.073465
Priesterseminar Regensburg,1653,Point(12.089 49.0183),Germany,49.0183,12.089
Q20032245,1654,Point(15.5731 54.1766),Poland,54.1766,15.5731
University of Košice,1657,Point(21.257858333 48.720872222),Kingdom of Hungary,48.720872222,21.257858333
Peruvian Naval School,1657,Point(-77.1647 -12.0714),Peru,-12.0714,-77.1647
Jezuitská kolej Karlovo náměstí,1658,Point(14.421 50.0756),Czech Republic,50.0756,14.421
Lviv University,1661,Point(24.022464 49.840488),Ukraine,49.840488,24.022464
"Academy of Fine Arts, Nuremberg",1662,Point(11.135396642 49.445693214),Germany,49.445693214,11.135396642
Séminaire de Québec,1663,Point(-71.205194444 46.81475),Canada,46.81475,-71.205194444
Ōtani University,1665,Point(135.758124 35.042949),Japan,35.042949,135.758124
Kiel University,1665,Point(10.1225 54.338888888),Germany,54.338888888,10.1225
Lund University,1666,Point(13.193333333 55.705833333),Sweden,55.705833333,13.193333333
